title,make,model,year,condition,transmission,price
Lexus ES 2004 Black,Lexus,ES,2004,local used,automatic,"₦ 4,300,000"
Toyota Avalon 2008 Silver,Toyota,Avalon,2008,local used,automatic,"₦ 5,300,000"
Lexus GX 2008 Gold,Lexus,GX,2008,local used,automatic,"₦ 9,700,000"
Toyota Land Cruiser Prado 2015 Black,Toyota,Land Cruiser,2015,local used,automatic,"₦ 33,500,000"
Toyota Land Cruiser 2020 Black,Toyota,Land Cruiser,2020,local used,automatic,"₦ 82,500,000"
Toyota Camry 2009 Gray,Toyota,Camry,2009,local used,automatic,"₦ 6,500,000"
Toyota Corolla Altis 1.6 2004 Black,Toyota,Corolla Altis,2004,local used,automatic,"₦ 3,999,999"
Hyundai Tucson 2016 Brown,Hyundai,Tucson,2016,foreign used,automatic,"₦ 22,000,000"
Toyota RAV4 XLE 4dr SUV (2.5L 4cyl 6A) 2015 Blue,Toyota,RAV4 XLE,2015,foreign used,automatic,"₦ 20,000,000"
Toyota RAV4 2.0 4x4 Executive 2005 Black,Toyota,RAV4 2,2005,local used,automatic,"₦ 3,999,999"
Dodge Journey 2014 White,Dodge,Journey,2014,foreign used,automatic,"₦ 8,500,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Blue,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 12,200,000"
Mercedes-Benz E350 2008 Black,Mercedes-Benz,E350,2008,foreign used,automatic,"₦ 11,600,000"
Lexus ES 2005 Brown,Lexus,ES,2005,local used,automatic,"₦ 5,700,000"
Toyota Avalon 2008 Blue,Toyota,Avalon,2008,local used,automatic,"₦ 6,500,000"
Dodge RAM 2023 Yellow,Dodge,RAM,2023,foreign used,automatic,"₦ 96,500,000"
Toyota Venza 2015 Burgundy,Toyota,Venza,2015,foreign used,automatic,"₦ 18,500,000"
New Lexus RX 350 Premium AWD 2025 Black,New,Lexus RX,2025,brand new,automatic,"₦ 165,000,000"
New Mercedes-Benz G-Class 2025 Black,New,Mercedes-Benz G-Class,2025,brand new,automatic,"₦ 545,000,000"
Lexus LX 570 (5 seats) AWD 2017 Black,Lexus,LX 570,2017,foreign used,automatic,"₦ 73,500,000"
Kia Rio EX 4dr Sedan (1.6L 4cyl 6A) 2015 Silver,Kia,Rio EX,2015,local used,automatic,"₦ 5,600,000"
Toyota Fortuner 2024 Black,Toyota,Fortuner,2024,foreign used,automatic,"₦ 67,500,000"
Jeep Wrangler Sport 4x4 2020,Jeep,Wrangler Sport,2020,foreign used,automatic,"₦ 64,500,000"
Ford Edge 2017 Black,Ford,Edge,2017,local used,automatic,"₦ 14,200,000"
Toyota Matrix 2009 Gray,Toyota,Matrix,2009,local used,automatic,"₦ 4,550,000"
Mercedes-Benz M Class 2008 Silver,Mercedes-Benz,M Class,2008,local used,automatic,"₦ 7,550,000"
Toyota Avalon 2013 Gold,Toyota,Avalon,2013,foreign used,automatic,"₦ 20,800,000"
